Sample,InputRep1,InputRep2,InputRep3,IPRep1,IPRep2,IPRep3,ControlTreatment,ControlGene,Treatment
1,18.39302098,18.33469253,18.20615556,19.59387401,19.25974037,18.84174437,n,n,1
2,18.69312177,18.87986148,18.46022143,17.99248283,17.90819993,17.8116886,n,n,1
3,19.71161668,19.91414478,19.74453375,21.59800862,21.64662445,21.50174656,y,n,2
4,18.01911433,18.18342328,18.19259215,23.18886958,23.03634121,23.13841108,y,n,2
5,16.67237408,16.62580445,16.56853039,21.06804191,21.04536538,21.19747725,n,y,3
6,18.29471397,18.13215038,18.08307466,21.7898524,21.95545297,21.91377005,n,y,3
7,17.39430069,17.30382368,17.16463661,21.91725432,21.92547707,21.69508187,y,y,4
8,16.86107488,17.06585371,16.99043953,23.29699868,23.1925589,23.06514485,y,y,4
